2025-06-02 14:45:58 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 14:45:58 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:45:58 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:46:07 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:46:12 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:46:28 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:46:32 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:46:32 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 14:46:32 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 14:46:32 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 14:46:32 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 14:46:33 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 44/2025
2025-06-02 14:46:33 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 14:54:23 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:55:39 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:55:39 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 14:55:39 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 14:55:39 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 14:55:39 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 14:55:40 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 45/2025
2025-06-02 14:55:40 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 14:56:55 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:56:59 Line: 11, : Request start: 127.0.0.1
2025-06-02 14:56:59 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 14:57:00 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 14:57:00 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 14:57:00 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 14:57:01 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 46/2025
2025-06-02 14:57:01 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:14:52 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:14:52 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:14:52 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:14:52 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:14:52 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:14:52 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:15:08 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:15:08 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:15:08 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:15:08 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:15:14 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:15:14 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:15:53 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:15:53 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:15:55 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:16:01 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:16:03 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:16:03 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:16:03 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:16:03 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:16:04 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:16:06 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:16:06 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:16:06 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:16:06 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:16:06 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:16:07 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 47/2025
2025-06-02 15:16:07 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:16:09 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:16:09 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:16:14 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:16:14 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:17:13 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:17:13 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:20:01 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:20:01 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:20:01 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:20:01 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:20:01 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:20:02 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 48/2025
2025-06-02 15:20:02 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:21:16 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:21:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:21:17 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:21:17 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:21:17 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:21:43 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:21:45 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:21:45 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:21:45 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:21:45 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:21:45 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:21:47 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:21:47 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:21:47 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:21:47 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:21:48 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:21:49 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:21:50 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:21:50 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:21:50 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:21:50 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:22:20 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:22:20 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:22:20 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
