2025-06-04 18:57:38 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:39 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:39 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-04 18:57:55 Line: 11, : Request start: 127.0.0.1
2025-06-04 18:57:55 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
